candidate	run	outer_ms
baseline-cpu-small	1	3203
candidate-cpu-small	1	3284
candidate-cpu-small	2	3345
baseline-cpu-small	2	3342
baseline-cpu-small	3	3406
candidate-cpu-small	3	3459
candidate-cpu-small	4	3575
baseline-cpu-small	4	3455
baseline-cpu-small	5	3518
candidate-cpu-small	5	3565
candidate-cpu-small	6	3664
baseline-cpu-small	6	3607
baseline-cpu-small	7	3626
candidate-cpu-small	7	3679
candidate-cpu-small	8	3690
baseline-cpu-small	8	3549
baseline-cpu-small	9	3690
candidate-cpu-small	9	3692
candidate-cpu-small	10	3741
baseline-cpu-small	10	3727
baseline-cpu-largeTurbo	1	18186
candidate-cpu-largeTurbo	1	18553
candidate-cpu-largeTurbo	2	18511
baseline-cpu-largeTurbo	2	18426
baseline-cpu-largeTurbo	3	18608
candidate-cpu-largeTurbo	3	18664
candidate-cpu-largeTurbo	4	18577
baseline-cpu-largeTurbo	4	18644
baseline-cpu-largeTurbo	5	18755
candidate-cpu-largeTurbo	5	18889
candidate-cpu-largeTurbo	6	18934
baseline-cpu-largeTurbo	6	18679
baseline-cpu-largeTurbo	7	18817
candidate-cpu-largeTurbo	7	18986
candidate-cpu-largeTurbo	8	18987
baseline-cpu-largeTurbo	8	18878
baseline-cpu-largeTurbo	9	19162
candidate-cpu-largeTurbo	9	19167
candidate-cpu-largeTurbo	10	19129
baseline-cpu-largeTurbo	10	18797
baseline-vulkan-small	1	1496
candidate-vulkan-small	1	1509
candidate-vulkan-small	2	1487
baseline-vulkan-small	2	1491
baseline-vulkan-small	3	1500
candidate-vulkan-small	3	1496
candidate-vulkan-small	4	1494
baseline-vulkan-small	4	1501
baseline-vulkan-small	5	1501
candidate-vulkan-small	5	1492
candidate-vulkan-small	6	1500
baseline-vulkan-small	6	1498
baseline-vulkan-small	7	1503
candidate-vulkan-small	7	1500
candidate-vulkan-small	8	1480
baseline-vulkan-small	8	1488
baseline-vulkan-small	9	1501
candidate-vulkan-small	9	1490
candidate-vulkan-small	10	1502
baseline-vulkan-small	10	1493
baseline-vulkan-largeTurbo	1	5710
candidate-vulkan-largeTurbo	1	5704
candidate-vulkan-largeTurbo	2	5741
baseline-vulkan-largeTurbo	2	5756
baseline-vulkan-largeTurbo	3	5735
candidate-vulkan-largeTurbo	3	5712
candidate-vulkan-largeTurbo	4	5738
baseline-vulkan-largeTurbo	4	5753
baseline-vulkan-largeTurbo	5	5742
candidate-vulkan-largeTurbo	5	5791
candidate-vulkan-largeTurbo	6	5802
baseline-vulkan-largeTurbo	6	5787
baseline-vulkan-largeTurbo	7	5804
candidate-vulkan-largeTurbo	7	5773
candidate-vulkan-largeTurbo	8	5798
baseline-vulkan-largeTurbo	8	5800
baseline-vulkan-largeTurbo	9	5788
candidate-vulkan-largeTurbo	9	5785
candidate-vulkan-largeTurbo	10	5797
baseline-vulkan-largeTurbo	10	5802
